"id_question","answer","mark"
"Вспомните , когда Вы еще учились в школе: какие предметы больше всего Вам нравились?","Алгебра, геометрия","1"
"Вспомните , когда Вы еще учились в школе: какие предметы больше всего Вам нравились?","Физкультура","2"
"Вспомните , когда Вы еще учились в школе: какие предметы больше всего Вам нравились?","Рисование, пение, литература или художественная","3"
"Вспомните , когда Вы еще учились в школе: какие предметы больше всего Вам нравились?","Биология","4"
"Вспомните , когда Вы еще учились в школе: какие предметы больше всего Вам нравились?","География, история или иностранные языки","5"
"Вспомните , когда Вы еще учились в школе: какие предметы больше всего Вам нравились?","Труд","6"
"О какой профессии Вы мечтали в детстве, выберите наиболее близкий вам вариант?","Ученый, совершающего уникальные научные открытия.","1"
"О какой профессии Вы мечтали в детстве, выберите наиболее близкий вам вариант?","Олимпийский чемпион по плаванию или художественной гимнастике.","2"
"О какой профессии Вы мечтали в детстве, выберите наиболее близкий вам вариант?","Писатель, художник, актер","3"
"О какой профессии Вы мечтали в детстве, выберите наиболее близкий вам вариант?","Детский врач, ветеринар или агроном","4"
"О какой профессии Вы мечтали в детстве, выберите наиболее близкий вам вариант?","Космонавт, путешественник, исследователь","5"
"О какой профессии Вы мечтали в детстве, выберите наиболее близкий вам вариант?","Модельер или дизайнер","6"
"Какие люди Вас всегда восхищают?","С широким кругозором , много знающие.","1"
"Какие люди Вас всегда восхищают?","Строго придерживающиеся здорового образа жизни.","2"
"Какие люди Вас всегда восхищают?","С творческими способностями, талантливые","3"
"Какие люди Вас всегда восхищают?","Заботливые, стремящиеся всегда прийти на помощь.","4"
"Какие люди Вас всегда восхищают?","Жизнерадостные, активные и легкие на подъем.","5"
"Какие люди Вас всегда восхищают?","Умеющие создать необыкновенный уют и тепло вокруг себя.","6"
"Бывая в книжном магазине, возле какого раздел Вы остановитесь?","«Научная и познавательная литература».","1"
"Бывая в книжном магазине, возле какого раздел Вы остановитесь?","«Спорт».","2"
"Бывая в книжном магазине, возле какого раздел Вы остановитесь?","«Искусство и культура».","3"
"Бывая в книжном магазине, возле какого раздел Вы остановитесь?","«Домашние животные и комнатные растения».","4"
"Бывая в книжном магазине, возле какого раздел Вы остановитесь?","«История, география и путешествия в разные уголки земного шара».","5"
"Бывая в книжном магазине, возле какого раздел Вы остановитесь?","«Дом. Быт. Уют».","6"
"Признайтесь, какой своей чертой Вы по-настоящему гордитесь?","Складом ума: поиск решений сложных задач для вас не составляет особого труда.","1"
"Признайтесь, какой своей чертой Вы по-настоящему гордитесь?","Хорошей физической подготовкой — вы долго шли к высоким результатам.","2"
"Признайтесь, какой своей чертой Вы по-настоящему гордитесь?","Воображением — многим даже в голову не придёт то, вы запросто придумываете.","3"
"Признайтесь, какой своей чертой Вы по-настоящему гордитесь?","Заботливостью – вам нравиться помогать другим, уделять внимание чему-то или кому-то кроме себя.","4"
"Признайтесь, какой своей чертой Вы по-настоящему гордитесь?","Смелостью — нужно уметь рисковать.","5"
"Признайтесь, какой своей чертой Вы по-настоящему гордитесь?","Усидчивостью — терпение помогает многого добиться.","6"
"Вы просто не представляете своей жизни без…","Полезной информации.","1"
"Вы просто не представляете своей жизни без…","Постоянного движения.","2"
"Вы просто не представляете своей жизни без…","Возможности выразить чувства и эмоции.","3"
"Вы просто не представляете своей жизни без…","Комнатных растений на подоконниках.","4"
"Вы просто не представляете своей жизни без…","Ярких, незабываемых впечатлений.","5"
"Вы просто не представляете своей жизни без…","Красоты и домашнего уюта.","6"
"Что лучше всего у Вас получается?","Что-либо мастерить","1"
"Что лучше всего у Вас получается?","Попадать в неприятности","2"
"Что лучше всего у Вас получается?","Осваивать новые виды спорта","3"
"Что лучше всего у Вас получается?","Заводить полезные знакомства","4"
"Что лучше всего у Вас получается?","Делать скрупулезную работу","5"
"Что лучше всего у Вас получается?","Удивлять других людей","6"
"Что для Вас хобби?","Способ отдохнуть и отвлечься от повседневности","1"
"Что для Вас хобби?","Возможность интересных знакомств","2"
"Что для Вас хобби?","Возможность поднять самооценку","3"
"Что для Вас хобби?","Возможность проявить творческие способности","4"
"Что для Вас хобби?","Возможность проявить себя","5"
"Что для Вас хобби?","Возможность познать себя","6"
"Оказавшись в новом городе, ты:","Сходишь в музей или театр","1"
"Оказавшись в новом городе, ты:","Будешь отдыхать в номере","2"
"Оказавшись в новом городе, ты:","Пойдешь гулять по улицам","3"
"Оказавшись в новом городе, ты:","Постараешься найти о нем побольше информации","4"
"Оказавшись в новом городе, ты:","Полазаешь по горам","5"
"Оказавшись в новом городе, ты:","Покатаешься на велосипеде","6"
"Что у тебя получается быстро делать?","Изучать что-то новое","1"
"Что у тебя получается быстро делать?","Бегать","2"
"Что у тебя получается быстро делать?","Вникать в суть","3"
"Что у тебя получается быстро делать?","Фантазировать","4"
